name,bias,total_votes,agree,disagree,agree_ratio,agreeance_text,allsides_page
ABC News (Online),left-center,53210,35301,17909,1.9711318331565135,Agrees,https://www.allsides.com/news-source/abc-news-media-bias
Above The Law,left-center,405,266,139,1.9136690647482015,Agrees,https://www.allsides.com/news-source/above-law-media-bias
Abridge News,allsides,649,395,254,1.5551181102362204,Agrees,https://www.allsides.com/news-source/abridge-news-media-bias
AJ+,left,811,607,204,2.9754901960784315,Strongly Agrees,https://www.allsides.com/news-source/aj-media-bias
Al Jazeera,left-center,12258,4889,7369,0.6634550142488804,Disagrees,https://www.allsides.com/news-source/al-jazeera-media-bias
AllSides,allsides,5875,4211,1664,2.5306490384615383,Strongly Agrees,https://www.allsides.com/news-source/allsides
AllSides Community,allsides,4143,2637,1506,1.750996015936255,Agrees,https://www.allsides.com/news-source/allsides-community
AlterNet,left,16591,13639,2952,4.620257452574526,Absolutely Agrees,https://www.allsides.com/news-source/alternet-media-bias
American Greatness,right,697,504,193,2.61139896373057,Strongly Agrees,https://www.allsides.com/news-source/american-greatness-media-bias
American Thinker,right,3001,1957,1044,1.8745210727969348,Agrees,https://www.allsides.com/news-source/american-thinker
Aquinas College Saint,left,1668,1008,660,1.5272727272727273,Agrees,https://www.allsides.com/news-source/aquinas-college-saint
Arc Digital,center,38,19,19,1.0,Neutral,https://www.allsides.com/news-source/arc-digital-media-bias
Arkansas Democrat-Gazette,left,1902,1081,821,1.3166869671132766,Somewhat Agrees,https://www.allsides.com/news-source/arkansas-democrat-gazette
Associated Press,center,47114,26640,20474,1.3011624499365049,Somewhat Agrees,https://www.allsides.com/news-source/associated-press-media-bias
Atlanta Black Star,left-center,241,93,148,0.6283783783783784,Disagrees,https://www.allsides.com/news-source/atlanta-black-star-media-bias
Atlanta Journal-Constitution,left-center,2101,1096,1005,1.090547263681592,Somewhat Agrees,https://www.allsides.com/news-source/atlanta-journal-constitution
Austin American-Statesman,left-center,1693,936,757,1.236459709379128,Somewhat Agrees,https://www.allsides.com/news-source/austin-american-statesman
Axios,center,12436,6038,6398,0.9437324163801187,Somewhat Disagrees,https://www.allsides.com/news-source/axios
AZ Central,center,679,253,426,0.5938967136150235,Disagrees,https://www.allsides.com/news-source/az-central-media-bias
Babylon Bee (Humor),right-center,815,595,220,2.7045454545454546,Strongly Agrees,https://www.allsides.com/news-source/babylon-bee-media-bias
Barnstable Patriot,center,1307,603,704,0.8565340909090909,Somewhat Disagrees,https://www.allsides.com/news-source/barnstable-patriot
BBC News,center,54202,29177,25025,1.165914085914086,Somewhat Agrees,https://www.allsides.com/news-source/bbc-news-media-bias
Bearing Drift,right,1344,719,625,1.1504,Somewhat Agrees,https://www.allsides.com/news-source/bearing-drift
BET,left-center,711,286,425,0.6729411764705883,Somewhat Disagrees,https://www.allsides.com/news-source/bet-media-bias
Biblical Gender Roles,right,232,172,60,2.8666666666666667,Strongly Agrees,https://www.allsides.com/news-source/biblical-gender-roles-media-bias
Biblical Sexology,right,183,127,56,2.267857142857143,Strongly Agrees,https://www.allsides.com/news-source/biblical-sexology-media-bias
Bizpac Review,right,173,115,58,1.9827586206896552,Agrees,https://www.allsides.com/news-source/bizpac-review-media-bias
Black Enterprise,left-center,235,85,150,0.5666666666666667,Disagrees,https://www.allsides.com/news-source/black-enterprise-media-bias
Block Club Chicago,left,143,90,53,1.6981132075471699,Agrees,https://www.allsides.com/news-source/book-club-chicago-media-bias
Bloomberg,left-center,36929,15874,21055,0.7539301828544289,Somewhat Disagrees,https://www.allsides.com/news-source/bloomberg-media-bias
Blue Virginia,left,1470,859,611,1.4058919803600656,Somewhat Agrees,https://www.allsides.com/news-source/blue-virginia
Boing Boing,left,1634,983,651,1.5099846390168972,Agrees,https://www.allsides.com/news-source/boing-boing
Boston Herald,right-center,1116,620,496,1.25,Somewhat Agrees,https://www.allsides.com/news-source/boston-herald-media-bias
Boston Herald Editorial,right-center,652,329,323,1.0185758513931888,Somewhat Agrees,https://www.allsides.com/news-source/boston-herald-editorial-media-bias
Boston Review,left-center,151,74,77,0.961038961038961,Somewhat Disagrees,https://www.allsides.com/news-source/boston-review-media-bias
Bowling Green Daily News,left-center,1358,656,702,0.9344729344729344,Somewhat Disagrees,https://www.allsides.com/news-source/bowling-green-daily-news
Braver Angels,allsides,300,165,135,1.2222222222222223,Somewhat Agrees,https://www.allsides.com/news-source/braver-angels-media-bias
Breitbart News,right,50379,39162,11217,3.4913078363198715,Absolutely Agrees,https://www.allsides.com/news-source/breitbart
Bridgemi.com,center,307,169,138,1.2246376811594204,Somewhat Agrees,https://www.allsides.com/news-source/bridgemicom-media-bias
Brown Girl Magazine,left,201,147,54,2.7222222222222223,Strongly Agrees,https://www.allsides.com/news-source/brown-girl-magazine-media-bias
Bustle,left-center,1772,893,879,1.0159271899886235,Somewhat Agrees,https://www.allsides.com/news-source/bustle
BuzzFeed News,left,33667,24478,9189,2.663837196648166,Strongly Agrees,https://www.allsides.com/news-source/buzzfeed-media-bias
Byron Donalds,right-center,55,33,22,1.5,Somewhat Agrees,https://www.allsides.com/news-source/byron-donalds-media-bias
C-SPAN,center,5467,4129,1338,3.085949177877429,Absolutely Agrees,https://www.allsides.com/news-source/c-span
CalMatters,center,1530,821,709,1.157968970380818,Somewhat Agrees,https://www.allsides.com/news-source/calmatters
CalWatchdog,center,1246,604,642,0.940809968847352,Somewhat Disagrees,https://www.allsides.com/news-source/calwatchdog
Care2,left,1356,665,691,0.9623733719247467,Somewhat Disagrees,https://www.allsides.com/news-source/care-2
CBN,right,10559,6997,3562,1.9643458731049972,Agrees,https://www.allsides.com/news-source/cbn
CBS News (Online),left-center,30930,18873,12057,1.5653147549141577,Agrees,https://www.allsides.com/news-source/cbs-news-media-bias
Center - Major Media Sources,center,1347,723,624,1.1586538461538463,Somewhat Agrees,https://www.allsides.com/news-source/center-major-media-sources
Center for Public Integrity,left-center,1665,765,900,0.85,Somewhat Disagrees,https://www.allsides.com/news-source/center-public-integrity
Centre View,left-center,1358,650,708,0.9180790960451978,Somewhat Disagrees,https://www.allsides.com/news-source/centre-view
Chicago Crusader,left,103,76,27,2.814814814814815,Strongly Agrees,https://www.allsides.com/news-source/chicago-crusader-media-bias
Chicago Defender,left,172,120,52,2.3076923076923075,Strongly Agrees,https://www.allsides.com/news-source/chicago-defender-media-bias
Chicago Sun-Times,left-center,1817,900,917,0.9814612868047983,Somewhat Disagrees,https://www.allsides.com/news-source/chicago-sun-times
Chicago Tribune,center,6009,2102,3907,0.5380087023291528,Disagrees,https://www.allsides.com/news-source/chicago-tribune
Christian Science Monitor,center,34722,15583,19139,0.8142013689325461,Somewhat Disagrees,https://www.allsides.com/news-source/christian-science-monitor
Christianity Today,right-center,531,214,317,0.6750788643533123,Somewhat Disagrees,https://www.allsides.com/news-source/christianity-today-media-bias
City Journal,right,988,558,430,1.2976744186046512,Somewhat Agrees,https://www.allsides.com/news-source/city-journal-media-bias
CNBC,center,9615,3133,6482,0.4833384757790805,Strongly Disagrees,https://www.allsides.com/news-source/cnbc
CNET,center,940,500,440,1.1363636363636365,Somewhat Agrees,https://www.allsides.com/news-source/cnet
CNN (Online News),left,98448,50713,47735,1.0623860898711637,Somewhat Agrees,https://www.allsides.com/news-source/cnn-media-bias
CNN (Opinion),left,40486,33168,7318,4.5323858977862805,Absolutely Agrees,https://www.allsides.com/news-source/cnn-editorial
CNN Business,left-center,331,216,115,1.8782608695652174,Agrees,https://www.allsides.com/news-source/cnn-business-media-bias
CNSNews.com,right,1808,1007,801,1.2571785268414482,Somewhat Agrees,https://www.allsides.com/news-source/cnsnewscom
Columbia Journalism Review,center,796,278,518,0.5366795366795367,Disagrees,https://www.allsides.com/news-source/columbia-journalism-review
Columbia Missourian,center,86,47,39,1.205128205128205,Somewhat Agrees,https://www.allsides.com/news-source/columbia-missourian-media-bias
Commentary Magazine,right,583,288,295,0.976271186440678,Somewhat Disagrees,https://www.allsides.com/news-source/commentary-magazine-media-bias
Common Dreams,left,167,118,49,2.4081632653061225,Strongly Agrees,https://www.allsides.com/news-source/common-dreams-media-bias
Concord Monitor,center,157,74,83,0.891566265060241,Somewhat Disagrees,https://www.allsides.com/news-source/concord-monitor
Conservative HQ,right,1421,974,447,2.178970917225951,Strongly Agrees,https://www.allsides.com/news-source/conservative-hq
Cook Report,center,1634,976,658,1.4832826747720365,Somewhat Agrees,https://www.allsides.com/news-source/cook-report
Counter Currents,left-center,698,388,310,1.2516129032258065,Somewhat Agrees,https://www.allsides.com/news-source/counter-currents
Counterpointing,allsides,832,432,400,1.08,Somewhat Agrees,https://www.allsides.com/news-source/counterpointing
CrowdPAC,center,961,465,496,0.9375,Somewhat Disagrees,https://www.allsides.com/news-source/crowdpac
CU Independent,center,893,411,482,0.8526970954356846,Somewhat Disagrees,https://www.allsides.com/news-source/cu-independent
Current Affairs,left,699,476,223,2.1345291479820627,Strongly Agrees,https://www.allsides.com/news-source/current-affairs-media-bias
Daily Beast,left,25385,19289,6096,3.164206036745407,Absolutely Agrees,https://www.allsides.com/news-source/daily-beast-media-bias
Daily Breeze,center,87,35,52,0.6730769230769231,Somewhat Disagrees,https://www.allsides.com/news-source/daily-breeze-media-bias
Daily Cardinal,center,996,475,521,0.9117082533589251,Somewhat Disagrees,https://www.allsides.com/news-source/daily-cardinal
Daily Chela,left,104,56,48,1.1666666666666667,Somewhat Agrees,https://www.allsides.com/news-source/daily-chela-media-bias
Daily Citizen,right,147,95,52,1.8269230769230769,Agrees,https://www.allsides.com/news-source/daily-citizen-media-bias
Daily Kos,left,7845,5735,2110,2.7180094786729856,Strongly Agrees,https://www.allsides.com/news-source/daily-kos
Daily Mail,right,18191,11747,6444,1.8229360645561763,Agrees,https://www.allsides.com/news-source/daily-mail
Daily Northwestern,left-center,870,424,446,0.9506726457399103,Somewhat Disagrees,https://www.allsides.com/news-source/daily-northwestern
Daily Press,right-center,959,423,536,0.789179104477612,Somewhat Disagrees,https://www.allsides.com/news-source/daily-press
Daily Progress,center,972,477,495,0.9636363636363636,Somewhat Disagrees,https://www.allsides.com/news-source/daily-progress
Daily Targum,left-center,751,303,448,0.6763392857142857,Somewhat Disagrees,https://www.allsides.com/news-source/daily-targum
Defense One,center,702,360,342,1.0526315789473684,Somewhat Agrees,https://www.allsides.com/news-source/defense-one-media-bias
Democracy Now,left,16298,13250,3048,4.347112860892389,Absolutely Agrees,https://www.allsides.com/news-source/democracy-now
Des Moines Register,center,417,163,254,0.6417322834645669,Disagrees,https://www.allsides.com/news-source/desmoines-register
Deseret News,right-center,3225,1316,1909,0.6893661602933473,Somewhat Disagrees,https://www.allsides.com/news-source/deseret-news
Desiring God,right-center,76,39,37,1.054054054054054,Somewhat Agrees,https://www.allsides.com/news-source/desiring-god-media-bias
Detroit Free Press,left-center,644,294,350,0.84,Somewhat Disagrees,https://www.allsides.com/news-source/detroit-free-press
Detroit News,center,464,172,292,0.589041095890411,Disagrees,https://www.allsides.com/news-source/detroit-news
Deutsche Welle,center,62,35,27,1.2962962962962963,Somewhat Agrees,https://www.allsides.com/news-source/deutsche-welle-media-bias
Diplomatic Courier,center,724,397,327,1.2140672782874617,Somewhat Agrees,https://www.allsides.com/news-source/diplomatic-courier
Divided We Fall,allsides,25,14,11,1.2727272727272727,Somewhat Agrees,https://www.allsides.com/news-source/divided-we-fall-media-bias
Drudge Report,right-center,4449,2329,2120,1.0985849056603774,Somewhat Agrees,https://www.allsides.com/news-source/drudge-report
Duke Chronicle,center,918,458,460,0.9956521739130435,Somewhat Disagrees,https://www.allsides.com/news-source/duke-chronicle
East Bay Times,left-center,195,122,73,1.6712328767123288,Agrees,https://www.allsides.com/news-source/east-bay-times
Education Week,center,368,146,222,0.6576576576576577,Disagrees,https://www.allsides.com/news-source/education-week
Elle Magazine,left-center,96,54,42,1.2857142857142858,Somewhat Agrees,https://www.allsides.com/news-source/elle-magazine-media-bias
Erraticus,center,70,46,24,1.9166666666666667,Agrees,https://www.allsides.com/news-source/erraticus-media-bias
ESPN.com,left-center,405,184,221,0.832579185520362,Somewhat Disagrees,https://www.allsides.com/news-source/espn
Esquire,left,1923,1309,614,2.1319218241042344,Strongly Agrees,https://www.allsides.com/news-source/esquire
Estes Park Trail Gazette,center,698,313,385,0.812987012987013,Somewhat Disagrees,https://www.allsides.com/news-source/estes-park-trail-gazette
Eurek Alert,center,821,386,435,0.8873563218390804,Somewhat Disagrees,https://www.allsides.com/news-source/eurek-alert
Evie Magazine,right-center,113,63,50,1.26,Somewhat Agrees,https://www.allsides.com/news-source/evie-magazine-media-bias
Fact Checker Blog,center,1687,862,825,1.044848484848485,Somewhat Agrees,https://www.allsides.com/news-source/fact-checker-blog
FAIR,left-center,1232,608,624,0.9743589743589743,Somewhat Disagrees,https://www.allsides.com/news-source/fair-media-bias
Falls Church News - Press,left,958,463,495,0.9353535353535354,Somewhat Disagrees,https://www.allsides.com/news-source/falls-church-news-press
Financial Times,center,1516,918,598,1.5351170568561874,Agrees,https://www.allsides.com/news-source/financial-times-media-bias
Fiscal Times,right-center,1419,753,666,1.1306306306306306,Somewhat Agrees,https://www.allsides.com/news-source/fiscal-times
FiveThirtyEight,center,8013,4550,3463,1.3138896910193474,Somewhat Agrees,https://www.allsides.com/news-source/fivethirtyeight-0
Forbes,center,21999,13638,8361,1.6311445999282383,Agrees,https://www.allsides.com/news-source/forbes
Foreign Affairs,center,1769,1127,642,1.7554517133956387,Agrees,https://www.allsides.com/news-source/foreign-affairs
Foreign Policy,center,704,323,381,0.847769028871391,Somewhat Disagrees,https://www.allsides.com/news-source/foreign-policy-media-bias
Fort Worth Star-Telegram,center,39,15,24,0.625,Disagrees,https://www.allsides.com/news-source/fort-worth-star-telegram-media-bias
Fortune,center,497,184,313,0.5878594249201278,Disagrees,https://www.allsides.com/news-source/fortune
Fox Business,right-center,146,97,49,1.9795918367346939,Agrees,https://www.allsides.com/news-source/fox-business-media-bias
Fox News (Online News),right,89187,41644,47543,0.8759228487895169,Somewhat Disagrees,https://www.allsides.com/news-source/fox-news-media-bias
Fox News (Opinion),right,34262,27753,6509,4.2637886003994465,Absolutely Agrees,https://www.allsides.com/news-source/fox-news-editorial-media-bias
Fox News Latino,right,3868,2653,1215,2.1835390946502056,Strongly Agrees,https://www.allsides.com/news-source/fox-news-latino
FrontPage Magazine,right,1099,639,460,1.3891304347826088,Somewhat Agrees,https://www.allsides.com/news-source/frontpage-magazine
Gizmodo,left-center,466,269,197,1.365482233502538,Somewhat Agrees,https://www.allsides.com/news-source/gizmodo
GLAAD,left-center,295,66,229,0.28820960698689957,Absolutely Disagrees,https://www.allsides.com/news-source/glaad-media-bias
GoLocal Providence,center,25,13,12,1.0833333333333333,Somewhat Agrees,https://www.allsides.com/news-source/golocal-providence-media-bias
Google News,left-center,1651,954,697,1.3687230989956958,Somewhat Agrees,https://www.allsides.com/news-source/google-news-media-bias
GQ.com,left-center,421,190,231,0.8225108225108225,Somewhat Disagrees,https://www.allsides.com/news-source/gqcom-media-bias
Grist,left-center,1102,528,574,0.9198606271777003,Somewhat Disagrees,https://www.allsides.com/news-source/grist
Haaretz,center,27,11,16,0.6875,Somewhat Disagrees,https://www.allsides.com/news-source/haaretz-media-bias
Hampton Roads Messanger,center,855,422,433,0.9745958429561201,Somewhat Disagrees,https://www.allsides.com/news-source/hampton-roads-messanger
Harvard Business School,left-center,1832,809,1023,0.7908113391984359,Somewhat Disagrees,https://www.allsides.com/news-source/harvard-business-school
Heavy.com,center,342,156,186,0.8387096774193549,Somewhat Disagrees,https://www.allsides.com/news-source/heavycom-media-bias
Herald Democrat,left,962,529,433,1.2217090069284064,Somewhat Agrees,https://www.allsides.com/news-source/herald-democrat-0
High Times,left-center,96,54,42,1.2857142857142858,Somewhat Agrees,https://www.allsides.com/news-source/high-times-media-bias
Hip Latina,left,64,36,28,1.2857142857142858,Somewhat Agrees,https://www.allsides.com/news-source/hip-latina-media-bias
Honolulu Civil Beat,center,943,394,549,0.7176684881602914,Somewhat Disagrees,https://www.allsides.com/news-source/honolulu-civil-beat
HotAir,right-center,2099,1104,995,1.1095477386934673,Somewhat Agrees,https://www.allsides.com/news-source/hotair
Houston Chronicle,center,453,148,305,0.4852459016393443,Strongly Disagrees,https://www.allsides.com/news-source/houston-chronicle-media-bias
HuffPost,left,57607,35386,22221,1.5924575851671843,Agrees,https://www.allsides.com/news-source/huffpost-media-bias
Idaho Statesman,center,283,123,160,0.76875,Somewhat Disagrees,https://www.allsides.com/news-source/idaho-statesman-media-bias
Inacow,right,750,427,323,1.3219814241486068,Somewhat Agrees,https://www.allsides.com/news-source/inacow
Independent Journal Review,center,2558,1310,1248,1.0496794871794872,Somewhat Agrees,https://www.allsides.com/news-source/independent-journal-review
Indiana Daily Student,center,740,316,424,0.7452830188679245,Somewhat Disagrees,https://www.allsides.com/news-source/indiana-daily-student
Indy Online,center,682,328,354,0.9265536723163842,Somewhat Disagrees,https://www.allsides.com/news-source/indy-online
Indy Week,left-center,729,348,381,0.9133858267716536,Somewhat Disagrees,https://www.allsides.com/news-source/indy-week
IndyStar,center,82,35,47,0.7446808510638298,Somewhat Disagrees,https://www.allsides.com/news-source/indystar-media-bias
InfoWars,right,6395,5246,1149,4.5657093124456045,Absolutely Agrees,https://www.allsides.com/news-source/infowars
Inland Valley Daily Bulletin,center,53,29,24,1.2083333333333333,Somewhat Agrees,https://www.allsides.com/news-source/inland-valley-daily-bulletin-media-bias
Inside Philanthropy,center,735,345,390,0.8846153846153846,Somewhat Disagrees,https://www.allsides.com/news-source/inside-philanthropy
Insider,center,8635,3327,5308,0.6267897513187641,Disagrees,https://www.allsides.com/news-source/business-insider
Intellectual Conservative,right-center,848,397,451,0.8802660753880266,Somewhat Disagrees,https://www.allsides.com/news-source/intellectual-conservative
International Business Times,center,1958,1089,869,1.2531645569620253,Somewhat Agrees,https://www.allsides.com/news-source/international-business-times
Investor's Business Daily,right-center,2317,1273,1044,1.2193486590038314,Somewhat Agrees,https://www.allsides.com/news-source/investors-business-daily
IVN,center,969,486,483,1.0062111801242235,Somewhat Agrees,https://www.allsides.com/news-source/ivn
Jacobin,left,1210,974,236,4.127118644067797,Absolutely Agrees,https://www.allsides.com/news-source/jacobin-media-bias
Jefferson Public Radio,center,43,22,21,1.0476190476190477,Somewhat Agrees,https://www.allsides.com/news-source/jefferson-public-radio-media-bias
Jezebel,left,510,380,130,2.923076923076923,Strongly Agrees,https://www.allsides.com/news-source/jezebel-media-bias
Journalist's Resource,center,680,322,358,0.8994413407821229,Somewhat Disagrees,https://www.allsides.com/news-source/journalists-resource
JSTOR Daily,center,89,47,42,1.119047619047619,Somewhat Agrees,https://www.allsides.com/news-source/jstor-daily-media-bias
Jubilee Media,center,578,267,311,0.8585209003215434,Somewhat Disagrees,https://www.allsides.com/news-source/jubilee-media-bias
Judicial Watch,right-center,2768,1340,1428,0.938375350140056,Somewhat Disagrees,https://www.allsides.com/news-source/judicial-watch
Just Security,center,34,18,16,1.125,Somewhat Agrees,https://www.allsides.com/news-source/just-security-media-bias
Just The News,center,886,243,643,0.37791601866251945,Strongly Disagrees,https://www.allsides.com/news-source/just-news-media-bias
KALW.org,center,57,27,30,0.9,Somewhat Disagrees,https://www.allsides.com/news-source/kalworg-media-bias
KATU,center,227,97,130,0.7461538461538462,Somewhat Disagrees,https://www.allsides.com/news-source/katu-media-bias
Kenosha News,center,52,15,37,0.40540540540540543,Strongly Disagrees,https://www.allsides.com/news-source/kenosha-news-media-bias
KQED,center,1090,579,511,1.1330724070450098,Somewhat Agrees,https://www.allsides.com/news-source/kqed
KSL,right,1879,989,890,1.1112359550561797,Somewhat Agrees,https://www.allsides.com/news-source/ksl
KWCH,center,40,20,20,1.0,Neutral,https://www.allsides.com/news-source/kwch-media-bias
Las Vegas Sun,left-center,705,350,355,0.9859154929577465,Somewhat Disagrees,https://www.allsides.com/news-source/las-vegas-sun
Latino Rebels,left,79,43,36,1.1944444444444444,Somewhat Agrees,https://www.allsides.com/news-source/latino-rebels-media-bias
Law & Crime,center,85,42,43,0.9767441860465116,Somewhat Disagrees,https://www.allsides.com/news-source/law-crime-media-bias
Leafly,left,43,24,19,1.263157894736842,Somewhat Agrees,https://www.allsides.com/news-source/leafly-media-bias
Leesburg Today,right-center,538,278,260,1.0692307692307692,Somewhat Agrees,https://www.allsides.com/news-source/leesburg-today
Left - Major Media Sources,left,1115,632,483,1.308488612836439,Somewhat Agrees,https://www.allsides.com/news-source/left-major-publications
LGBTQ Nation,left,350,132,218,0.6055045871559633,Disagrees,https://www.allsides.com/news-source/lgbtq-nation-media-bias
Lifehacker,center,850,428,422,1.014218009478673,Somewhat Agrees,https://www.allsides.com/news-source/lifehacker
Listen First Project,allsides,329,180,149,1.2080536912751678,Somewhat Agrees,https://www.allsides.com/news-source/listen-first-project-media-bias
Live Action News,right-center,630,365,265,1.3773584905660377,Somewhat Agrees,https://www.allsides.com/news-source/live-action-news
Live Science,center,163,92,71,1.295774647887324,Somewhat Agrees,https://www.allsides.com/news-source/live-science-media-bias
Long Beach Press-Telegram,center,53,19,34,0.5588235294117647,Disagrees,https://www.allsides.com/news-source/long-beach-press-telegram-media-bias
Longmont Times-Call,left-center,438,234,204,1.1470588235294117,Somewhat Agrees,https://www.allsides.com/news-source/longmont-times-call
Los Angeles Daily News,center,123,30,93,0.3225806451612903,Absolutely Disagrees,https://www.allsides.com/news-source/los-angeles-daily-news-media-bias
Los Angeles Times,left-center,8533,4903,3630,1.3506887052341598,Somewhat Agrees,https://www.allsides.com/news-source/los-angeles-times-bias
Louisville Courier-Journal,left-center,523,258,265,0.9735849056603774,Somewhat Disagrees,https://www.allsides.com/news-source/louisville-courier-journal
Making Sense,center,58,33,25,1.32,Somewhat Agrees,https://www.allsides.com/news-source/making-sense-media-bias
Marijuana Moment,left-center,71,37,34,1.088235294117647,Somewhat Agrees,https://www.allsides.com/news-source/marijuana-moment-media-bias
MarketWatch,center,1400,401,999,0.4014014014014014,Strongly Disagrees,https://www.allsides.com/news-source/marketwatch-media-bias
Mashable,left,870,609,261,2.3333333333333335,Strongly Agrees,https://www.allsides.com/news-source/mashable
McClatchyDC,center,281,120,161,0.7453416149068323,Somewhat Disagrees,https://www.allsides.com/news-source/mcclatchydc-media-bias
Media Matters,left,4842,3131,1711,1.8299240210403274,Agrees,https://www.allsides.com/news-source/media-matters-bias
Media Research Center,right,3146,1436,1710,0.839766081871345,Somewhat Disagrees,https://www.allsides.com/news-source/media-research-center
Media Village,center,12,4,8,0.5,Strongly Disagrees,https://www.allsides.com/news-source/media-village-media-bias
Mediaite,left-center,1852,921,931,0.9892588614393125,Somewhat Disagrees,https://www.allsides.com/news-source/mediaite-bias
Metro Weekly,left,13,5,8,0.625,Disagrees,https://www.allsides.com/news-source/metro-weekly-media-bias
Miami Herald,left-center,912,448,464,0.9655172413793104,Somewhat Disagrees,https://www.allsides.com/news-source/miami-herald
MichelleMalkin.com,right,1003,669,334,2.002994011976048,Strongly Agrees,https://www.allsides.com/news-source/michellemalkincom
Michigan Daily,left-center,578,299,279,1.07168458781362,Somewhat Agrees,https://www.allsides.com/news-source/michigan-daily
Military Times,center,280,131,149,0.8791946308724832,Somewhat Disagrees,https://www.allsides.com/news-source/military-times-media-bias
Misinformation Review,center,75,31,44,0.7045454545454546,Somewhat Disagrees,https://www.allsides.com/news-source/misinformation-review-media-bias
Mismatch.org,allsides,259,127,132,0.9621212121212122,Somewhat Disagrees,https://www.allsides.com/news-source/mismatchorg-media-bias
MIT News,center,561,300,261,1.1494252873563218,Somewhat Agrees,https://www.allsides.com/news-source/mit-news
Mitú,left,62,36,26,1.3846153846153846,Somewhat Agrees,https://www.allsides.com/news-source/mit-media-bias
Mother Jones,left,17416,15171,2245,6.757683741648107,Absolutely Agrees,https://www.allsides.com/news-source/mother-jones-bias
MSNBC,left,26299,20886,5413,3.858488823203399,Absolutely Agrees,https://www.allsides.com/news-source/msnbc
MTV News Online,left-center,424,161,263,0.6121673003802282,Disagrees,https://www.allsides.com/news-source/mtv-news-online-media-bias
National Geographic,center,328,180,148,1.2162162162162162,Somewhat Agrees,https://www.allsides.com/news-source/national-geographic-media-bias
National Journal,center,1872,1057,815,1.2969325153374234,Somewhat Agrees,https://www.allsides.com/news-source/national-journal
National Review,right,26439,18779,7660,2.4515665796344646,Strongly Agrees,https://www.allsides.com/news-source/national-review
Nature.com,center,268,162,106,1.528301886792453,Agrees,https://www.allsides.com/news-source/naturecom-media-bias
Nautilus Quarterly,center,28,15,13,1.1538461538461537,Somewhat Agrees,https://www.allsides.com/news-source/nautilus-quarterly-media-bias
NBC News (Online),left-center,23804,12002,11802,1.016946280291476,Somewhat Agrees,https://www.allsides.com/news-source/nbc-news-media-bias
NBC Today Show,left-center,3297,1602,1695,0.9451327433628318,Somewhat Disagrees,https://www.allsides.com/news-source/nbc-today-show
New Discourses,center,211,119,92,1.2934782608695652,Somewhat Agrees,https://www.allsides.com/news-source/new-discourses-media-bias
New Hampshire Union Leader,center,149,68,81,0.8395061728395061,Somewhat Disagrees,https://www.allsides.com/news-source/union-leader
New Republic,left,2572,1716,856,2.0046728971962615,Strongly Agrees,https://www.allsides.com/news-source/new-republic
New York Daily News,left,2182,1509,673,2.2421991084695394,Strongly Agrees,https://www.allsides.com/news-source/new-york-daily-news
New York Magazine,left,3320,2320,1000,2.32,Strongly Agrees,https://www.allsides.com/news-source/new-york-magazine
